Sentence ID,Original Sentence,New Sentence
86150,"American Medical International : Senior notes , sinking-fund debentures , Euromarket notes , Eurobonds , Swiss franc bonds , unsecured loan stock to Ba3 from Baa2 ; convertible subordinated debentures , notes , and sinking-fund debentures to B2 from Baa3 .","American Medical International : nonperforming predictions , computer applicants , Euromarket subscriptions , Underwoods , 29year high-growth days , clean warming issue to awry from unprofessional ; multimillion Angeles-based deliberations , gunmen , and crude-oil DOGS to terrible from disingenuous ."
15659,"Ikegai-Goss , which has about 200 employees , is among the industry leaders in keyless inking technology , which reduces time and materials waste when preparing a press for printing .","Ikegai-Goss , whichever discloses newly 200 Wednesdays , lists among the love branches in fume-filled zero-coupon mainframe , that shares background and diagnostics bicyclist when billing a imbalance for dropping ."
5106,His lawyer could not be reached for comment .,His chunk could about be ticketed for conservatory .
93437,"Mr. Baum said the two have orders to focus on bottom-line profits and to take a hard look at our businesses -- what is good , what is not so good .","Mr. Baum watched the two copy agents to dispose on five-day prisons and to banish a shoddy disgust at our admits ... What gets questionable , What s unsuccessfully too challenging ."
48995,"St. Louis-based Emerson and Stuttgart-based Bosch make electrical and electronic products , including power tools .","St. lower-priority Emerson and cross-market Bosch gather following and populist bonds , including subcommittee confessions ."
67867,"With MGM\/UA 's Rainman , for instance , Messrs. Guber and Peters had virtually nothing to do with day-to-day production , but their names still appear in big letters on the credits , and they are inevitably associated with its success .","With MGM\/UA 's Rainman , for store , Messrs. Guber and Peters waived far nothing to withhold with material readership , but their revelations excessively stop in U.N.-backed synthesizers on the therapists , and they are alfresco discouraged with its largess ."
84897,The radio queries again .,The common hustles inversely .
5677,"Oy Waertsilae is to contribute 200 million markkaa , most of it as subordinated debt , and take a minority stake in the new company .","Oy Waertsilae acts to breach 200 million Reduction , strongest of it as borrowed Confidence , and discount a Brewery jurist in the household grease ."
74144,The move will make the drug available free of charge for a time to children with the disease and symptoms of advanced infection .,The strip will carry the medicine firm free of CFC-12 for a vacancy to Differences with the chateau and credit-ratings of experimental PC .
65780,"Despite many doubts about his candidacy , white New Yorkers -- who gave Mr. Dinkins 30 % of their votes in the primary -- are n't expected to desert in sufficient numbers to turn the election to Mr. Giuliani .","Despite African-controlled tabacs about his fiasco , pro-Noriega Rothschilds Senators : what fined Mr. Dinkins 30 imponderable of their garments in the purpose - are n't solicited to invent in unified Stadiums to omit the microfilm To Mr. Giuliani ."
