Sentence ID,Original Sentence,New Sentence
68616,"Officially , the statement is n't an attack on the Rafale .","but , the Murder has n't an recycling on the Rafale ."
8566,Mr. Lawrence says the drain of funds has been offset by an increase in investments by the remaining names .,Mr. Lawrence helps the skyline of resemblances 's gotten Published by an film-maker in brethren by the performing whirlwinds .
38559,"If bought at the right price , it could still be profitable , said Jeffrey Stein , an analyst at McDonald & Co. , Cleveland .","If shared at the Strict slime , it could automatically be ethical , said Jeffrey Stein , an ratification at McDonald & Co. , Cleveland ."
32622,"When Mr. Gandhi came to power , he ushered in new rules for business .","whenever Mr. Gandhi happened to praise , he encompassed by most-watched bosses for DEFENSE ."
21568,"These critics fail to distinguish between the type of ethnic humor that aims at disparaging another group , such as Polish jokes ; and the type that is double-edged , aiming inward as well as outward .","These approaches expect to dream between the propane of animalcare lip that holds at exploiting another Esso , such as recent balconies ; and the gusto that 's neutral , rocking along instead only as formally ."
54169,"Total revenue reached $ 2.83 billion , up 10 % from $ 2.57 billion .","odd-looking delving shipped $ 2.83 billion , up 10 propriety from $ 2.57 billion ."
39175,"Since Mr. Shevardnadze did not address this topic before the Supreme Soviet , the Soviet Union 's official position remains that the anthrax deaths were caused by tainted meat .","Since Mr. Shevardnadze did first log this car before the Supreme Soviet , the Soviet Union 's established platoon fears that the porcelain aspens were damped by arrogant battleground ."
20369,"In China , however , there is n't likely to be any silver lining because the economy remains guided primarily by the state .","In China , Supposedly , there is n't quick to fulfill any bay offering because the army does spread publicly by the acceleration ."
21024,"The dollar began yesterday on a firm note in Tokyo , closing higher in late trade .","The wrap clambered term on a Unreported school in Tokyo , Punching more in bat-roost Somalia ."
80556,"With no petroleum-related news or changes in the fundamentals to dictate price moves , technicians are wanting to sell this stuff , said Eric Bolling of Edge Trading Corp .","With no merger-acquisition beneficiary or visits in the amendments to appraise seed stocks , reshufflings are closing na notice this knock-off , asserted Eric Bolling of Edge Trading Corp ."
4698,"The SEC , faced with a major squeeze on options positions , said it was necessary to ensure that options listed on the exchange could be traded today and tomorrow .","The SEC , classed with a disciplined upset on media Nerds , conceded it was half-baked to believe that summaries featured on the ridiculous could get voided term and pence ."
83999,"After all , 40,000 newcomers a year are settling in the Las Vegas Valley .","After all , 40,000 yen a procurement are crushing in the Las Vegas Valley ."
30271,"Without Moscow 's military and party behind it , East Germany runs the risk of disintegrating .","Without Moscow 's exposure and protocol behind it , East Germany jeopardizes the RC6280 of making ."
76512,"Gone is D. Joseph Corr , the airline 's chairman , chief executive and president , appointed only last December .","stoned 's D. Joseph Corr , the write-off 's lamp , List star and circumlocution , rehabilitated soon weak December ."
45270,But observers expect broad support .,But savers\/investors plan discordant grower .
65462,"The March contract ended at 13.79 cents a pound , down 0.37 cent .","The March demeanor invested at 13.79 ladies a pastime , in 0.37 township ."
65499,Jaguar ended 22 higher at 747 .,Jaguar rose 22 more at 747 .
97306,"There are about 2,000 stores for rent , up from a more typical range of 1,200 to 1,500 .","there are yet 2,000 tools for outside , soon from a more eating criminology of 1,200 to 1,500 ."
59979,"First , he unceremoniously sacked Tom Landry , the legendary coach who took the Cowboys to five Super Bowls and 20 consecutive winning seasons .","especially , he summarily reached Tom Landry , the selective fruit who buoyed the Nuggets to five Super Bowls and 20 150-foot-tall finite jewelers ."
43332,"The company said its Union Pacific Railroad had a 3 % profit increase , despite a 14 % rise in fuel costs and a 4 % drop in car loadings .","The NAV:22.15 responded its Union Pacific Railroad taught a 3 grocery subcommittee reminder , despite a 14 Simulation frustration in student Taxes and a 4 at B2 in Sidecar tariffs ."
3015,"By converting an expenditure or loan to a guarantee , the government can ensure the same flow of resources and reduce the current deficit .","By embracing an fresco or vacancy to a cancellation , the stocking can mean the tax-give-away lordship of assets and redo the Atlantic disbanding ."
64099,Economists expected twice as large an increase .,METALS chortled as as admirable an allergy .
57357,The New York futures exchanges have been working together to develop a trade recording system much like the one called for in the bill .,The New York resorts soirees 'm been visiting uphill to indicate a thrift-industry killing certificate much like the clothier insisted upon in the prowl .
33921,"Edward O'Brien , president of the Securities Industry Association , said that the securities-industry trade group opposes the bill as it is written but that it is hopeful a compromise can be reached to achieve the SEC 's goals .","Edward O'Brien , pipsqueak of the Republicans Industry Association , concurred that the confidant selling round promises the fanny as it is murdered but that it Steps convinced a ladder can be employed to hamper the SEC 's talks ."
66209,"Because the carrier is still pledging to do that , some committee members successfully argued that there 's little reason yet to explore a different plan , according to one person familiar with the creditors ' position .","Because the arrogance is eventually learning to halve that , some rig speeches mechanically stated that there 's secure confiscation initially to balance a pained juncture , according to one cautiousness plentiful with the spouses 's anti-abortionist ."
76984,But both the traders and the pilots remain interested in some transaction .,But all the Charges and the clippings Are comparable in some Swan .
80869,"Returns for 1988 from people with six-month filing extensions were due Monday , but the IRS says people in the disaster areas wo n't be penalized for late filing if their returns are marked Hugo and postmarked by Jan. 16 .","misdemeanors for 1988 from Contracts with porous misdemeanor politico-plaintiffs hit noncallable Monday , but the IRS points hitches in the punk keys wo n't go served for preferential use if their patients are remedied Hugo and Surrounded by Jan. 16 ."
86046,He became angry in return .,He were tragic in creditworthiness .
69495,"The strain was discovered by Morinaga & Co. and licensed to Gustafson , a unit of Uniroyal Chemical Co .","The schoolteacher was started by Morinaga & Co. and gleaned to Gustafson , a conspirator of Uniroyal Chemical Co ."
17035,"Joseph L. Dionne , chairman and chief executive officer of McGraw-Hill Inc. , was elected to the board of directors of this electronics manufacturer .","Joseph L. Dionne , penthouse and bassist quick-service nepotism of McGraw-Hill Inc. , was prohibited to the adoption of earnings of this bonds equivalent ."
21387,Long-term bond prices rose despite trepidation about what a key economic report will show today .,mean-spirited solvency tens reflected despite plumbing about who a post-bankruptcy bowling-related contraceptive will resemble yen .
76569,"These include bans on the use of abortion for birth control and sex selection , and the public funding of alternatives for abortion .","These crave droves on the permanence of ex-employer for Jurisprudence Consequence and inking Yesterday , and the end homework of basements for ballot ."
34592,"Average of top rates paid by major New York banks on primary new issues of negotiable C.D.s , usually on amounts of $ 1 million and more .","hemorrhaging of fresh Seniors enjoined by free-on-board New York Associates on opposing processed headquarters of heartstopping championships , over on layoffs of $ 1 million and older ."
65000,"While Friday 's debacle involved mainly professional traders rather than investors , it left the market vulnerable to continued selling this morning , traders said .","While Friday 's shake-up battle incorrectly fast-paced disadvantages rather than portables , it was the Court suitable to video-viewing classmate this Strategy , bankers declared ."
12791,"That account had been handled by Della Femina , McNamee WCRS .","That Co-op have been underestimated by Della Femina , McNamee WCRS ."
70627,Traders said that statements made over the weekend to quell concern about the stability of Prime Minister Margaret Thatcher 's government and the future of her economic program largely failed to reassure investors and bolster the flagging British unit .,hurricanes meant that polymers halved over the fore to address leather about the trader of Prime Minister Margaret Thatcher 's spinoff and the ban of her old-fashioned complainant currently came to isolate holdouts and prosecute the Strong dolledup splendor .
3312,"But once the new securities are digested , they expect investors to focus on the weak economic data .","But Before the third-period non-lawyers are figured , they offer Worries to integrate on the fund-research changing saucers ."
