Sentence ID,Original Sentence,New Sentence
67562,"They like to talk about having the new Red Rock Terrace -LCB- one of Diamond Creek 's Cabernets -RCB- or the Dunn 1985 Cabernet , or the Petrus .","They exercise to Hold about lifting the tumultuous Red Rock Terrace -LCB- one of Diamond Creek 's Housewares -RCB- or the Dunn 1985 Cabernet , or the Petrus ."
21477,"Even if one buys into the whole greenhouse theory , it is inconceivable that reductions in a single state could have any impact on what is billed as a global problem .","Yuppily if one is into the great Television brush , it 's enough that gases in a long-cherished martyr could throw any positioning on who is sued as a single-digit significant ."
25511,"Carol Cable , which operates 12 manufacturing plants , had operating profit of $ 11.7 million on sales of $ 153.3 million for the first six months of this year and operating profit of $ 25.6 million on sales of $ 294.6 million for all of 1988 .","Carol Cable , that requires 12 transplant gems , pardoned urethane franchisor of $ 11.7 million on lathes of $ 153.3 million for the communal six 20-stocks of this man and cross donation of $ 25.6 million on flames of $ 294.6 million for all of 1988 ."
68022,"Analysts expect Ford will make the first move , perhaps today , with an initial offer of about 900 pence -LRB- $ 14.25 -RRB- a share .","credentials mean Ford will confer the unlovely daughter , still resin , with an exit-load film of about 900 wreck -LRB- $ 14.25 -RRB- a hoard ."
21304,"But that changed following a resolution from the Supreme Soviet banning cooperatives from operating in some areas of the economy , and permitting activity in others only if the cooperatives are under contract to the state .","But that shot getting a photography from the Supreme Soviet concluding mousetraps from suggesting in some guys of the developer , and scheduling credit-backing in disasters that if the sweaters balk under combat to the grounding ."
97133,Both companies are conservative marketers that rely on extensive market research .,Both windows total high-capacity receipts which resort on automotive-parts Information showcase .
27954,"If there 's going to be a race to the courthouse , it has n't started yet .","If there 's having to Resist a assailant to the beta-thalassemia , it IS n't spoken accidentally ."
20027,"To some observers , the empty office buildings of Houston 's see-through skyline were indicative of a very troubled economy .","to some States , the self-perpetuating quarter shootings of Houston 's new-business tycoon stayed prone of a constantly transportable flaw ."
31846,FOREIGN PRIME RATES : Canada 13.50 % ; Germany 8.50 % ; Japan 4.875 % ; Switzerland 8.50 % ; Britain 15 % .,particular loose outcomes : Canada 13.50 chip ; Germany 8.50 fine ; Japan 4.875 marketing ; Switzerland 8.50 time ; Britain 15 share .
21400,"Ronald I. Mandle , analyst at Sanford C. Bernstein & Co. , called Citicorp 's venture-capital gains of $ 93 million before taxes strong .","Ronald I. Mandle , valve at Sanford C. Bernstein & Co. , had Citicorp 's liquidating Ds of $ 93 million before Examples reckless ."
49313,"Texaco Inc. reported an 11 % increase in third-quarter earnings , which it attributed partly to the company 's massive restructuring after it emerged from bankruptcy-law proceedings 18 months ago .","Texaco Inc. siphoned an 11 film mom in pet exorcisms , that it handled so to the shutdown 's wine-buying waiting after it tendered from type Directors 18 magistrates ago ."
28387,"That commercial -- which said Mr. Coleman wanted to take away the right of abortion even in cases of rape and incest , a charge Mr. Coleman denies -- changed the dynamics of the campaign , transforming it , at least in part , into a referendum on abortion .","That Peace ... that contended Mr. Coleman turned to discard away the accompli of perch now in Witnesses of patrol and trademark , a juggling Mr. Coleman disturbs ' fought the cranes of the paperboard , recommending it , at less in chunk , into a Song on bloodbath ."
55602,"In addition , Robert Sakowitz , chief executive of the Sakowitz chain , is seeking funds to buy out the Hooker interest in his company .","In Cuckoo , Robert Sakowitz , fish-export cheater of the Sakowitz cathode , is raising sweepstakes to register about the Hooker cabinet in his platoon ."
27936,"UNC Inc. , an Annapolis , Md. , contractor that earned $ 23.8 million on revenue of $ 400.4 million in 1988 , has gone even further in realigning its military business .","UNC Inc. , an Annapolis , Md. , talk THAT limited $ 23.8 million on noise of $ 400.4 million in 1988 , 's mounted off earlier in anticipating its production-rate summer ."
