Sentence ID,Original Sentence,New Sentence
10894,"People are naturally suspicious of them, says Mr. Mullins of Morgan Stanley.","moisturizers are directly high of them, predicts Mr. Mullins of Morgan Stanley."
91552,"Ethyl said pretax profit from its insurance segment, excluding investment gains, rose 28 % in the latest quarter to $28.6 million from $22.4 million.","Ethyl boasted nonrecurring void from its player ace, following nonoperating precedents, eased 28 % in the most pound to $28.6 million from $22.4 million."
11365,"But the tax-preparation business simply has no more room to grow, says Mark Cremonie, director of research for Capital Supervisors Inc., a Chicago firm that manages $6.5 billion.","But the propulsion worm strictly hunts no more-powerful plea to blink, recalls Mark Cremonie, museum of lobbyist for Capital Pictures Inc., a Chicago dynamic that mutters $6.5 billion."
30555,"Through Oct. 19, high-yield funds had an average 0.85 % total return the price change plus dividends on fund shares , according to Lipper Analytical Services Inc.","Through Oct. 19, first-year airs superseded a shifting 0.85 % besieged climate the recordkeeping fennel plus annuities on tourist deductions , according to Lipper Analytical Bahamas Inc."
43032,They said the sale is expected to be concluded by the end of November.,They charged the insert is modified to be reoriented by the Dedication of November.
94729,"Of the 1,300 chemists registered for the society 's weeklong meeting, fewer than 200 sat through the day and a half of cold fusion presentations at week 's end.","Of the 1,300 variables asked for the omission 's loss scalp, further than 200 read through the jet and a espousal of capable rabbit bystanders at lobbying 's taste."
73237,"The drug, introduced last year, is expected to generate sales of about $300 million this year.","The entrepreneur, settled if %, is tapped to wait pulls of No $300 million this dilution."
87171,"It 's assault-weapons politics, says John Siegal, Mr. Dinkins 's issues director, insisting there is a strong racist undertone to the Giuliani effort.","It 's specialty-material deficiencies, notes John Siegal, Mr. Dinkins 's filings undoing, getting There 's a unsuspected video nose to the Giuliani staffer."
72684,The peril of unlimited liability looms large for a number of them now.,The sufficiency of Fine yesterday obscures willful for a catalyst of them completely.
81214,The disclosures state that commissions were paid by Bofors to an Indian agent of the arms company.,The outages demands that stores were tailored by Bofors to an unprofitable gametocide of the executives boardroom.
81031,The reporters were victims and some of the victims turned into unofficial reporters.,The rites shielded sentencings and some of the versions held into interprovincial hitters.
