Sentence ID,Original Sentence,New Sentence
6606,The index rose 1.1 % in the second quarter .,The tagline cut 1.1 today in the sale falloff .
80365,"Most important , this would leave the party intact and its monopoly of political power largely undisturbed .","most Fourth , this would make the retrieval unprofitable and its ending of opportunistic relationship strongly personal ."
6470,The August drop was the fourth decline in five months .,The August graduate pervaded the engineering zenith in five females .
68475,"The European Community Commission increased its forecast for economic growth in the EC in 1989 to 3.5 % , slightly higher than its June projection of 3.25 % .","The European Community Commission extracted its vice for motor-control repayment in the EC in 1989 to 3.5 trepidation , Especially greater than its June She of 3.25 Juilliard ."
19204,George Marshall 's ghost is much more difficult to keep happy .,George Marshall 's tachycardia is now better great to keep hunky-dory .
59400,"He 's put a fresh spin on material that could come off terribly cliched ; for example , the way Susie wows an audience the first time she sings with the Baker Boys .","He 's tapped a calculated bishop on score THAT could come in even dowdy ; for 17-year-old , the seclusion schedule steps an thrill the split-fingered linen she filters with the Baker Dealers ."
39305,"In 1979 , however , Westinghouse abandoned the project along with its stake in advanced television .","In 1979 , also , Westinghouse hindered the connotation along with its psychoanalyst in year-long stop-motion ."
95956,"And in some months , he buys stock-index futures and not stocks at all .","And in some bridges , he designs television-related currencies and as Designs at all ."
56337,The down trend was partly the result of tighter credit sparked by a discount rate increase by the Bank of Japan in May .,The 21-yard out voiced successively the thirst of reseller cleanup bombarded by a front-runner reset indication by the Bank of Japan in May .
70317,But they may pay a price 10 or 20 years in the future .,But they may tax a consomme 10 or 20 recordings in the prodding .
12640,But New York City general obligation bonds came under selling pressure .,But New York City terse dart-throwing schoolchildren caught under stock Medicine .
23275,"At the same time , William T. Archey , international vice president at the U.S. Chamber of Commerce , notes : Clearly the stronger dollar has made imports more attractive by causing their prices to decline .","At the constitutional CEO , William T. Archey , academic neon reform at the U.S. Chamber of Commerce , expects : surprisingly the worse aesthetic HAS got rentals less fierce by helping their ratepayers to reside ."
77754,"Sales of North American-built cars and trucks plunged 20.5 % in mid-October from a year earlier , as domestic manufacturers paid the price for heavy incentives earlier this year .","RATES of disposable bargain-basement immigrants and supervisors were 20.5 year in mid-October from a recruit earlier , as Costa fluctuations dogged the establishment for hasty venues earlier this legerdemain ."
6679,He cut the dropout rate by 5.5 % .,He have the TREASURY folio by 5.5 Medicine .
19541,We must either integrate honestly or segregate honestly .,We must lavishly deteriorate by or cheer directly .
54878,Mr. Roman appears custom-made for the American Express job .,Mr. Roman 's important for the American Express team .
95924,"But the 250-point circuit breaker never had to kick in , and freezes on the Chicago Board of Trade 's Major Market Index also were n't triggered .","But the intravenous 585-lawyer grade indefinitely fell to rely in , and markets on the Chicago Board of Trade 's Major Market Index readily were n't assigned ."
35385,"The A 's offensive showing in the Series got an A , as in awesome .","The A 's bad hole in the Series uttered an overhang , as in certain ."
90472,"The fear Congress has of any line-item-veto test led Members to add the single most contorted and ridiculous provision this year , This section shall be effective only on Oct. 1 , 1989 .","The diversification Congress alarms of any facto income selected benchmarks to merit the slow-startup best high-grade and gross hand this single-A-3 , This glimpse shall be acrimonious now on Oct. 1 , 1989 ."
16408,A slowing economy and the implication of lower inflation and interest rates tend to bolster bond prices .,A beating analysis and the THREAT of wider stop-loss and grocery recoveries try to antagonize auto-dealer deals .
17054,"First City , which issues both MasterCard and Visa cards , has agreed to act as an agent bank .","First City , THAT visits both MasterCard and Visa railcars , does forced to consist as an scare-tactic Politrick ."
23083,Continued export demand also supported prices .,automated management Baseball often unleashed pluses .
77220,New management can take several steps to reduce dishonesty .,75-cent stopover can modify state-supervised passers-by to wait Confusion .
24039,Some evinced an optimism that had been rewarded when they did n't flee the market in 1987 .,Some injected an miniseries that got been populated when they did n't decide the irritation in 1987 .
20537,"Still , Boeing went through its normal verbal gymnastics and played up the downside .","neither , Boeing profited through its last-minute post-1987 diners and Ate for the ex-accountant ."
15630,Yet Mr. Rosen has turned the import phenomenon to his advantage .,Yet Mr. Rosen remains bid the intergrated-steel healing to his instruction .
54756,"In last month 's survey , a number of currency analysts predicted the dollar would be pressured by a narrowing of interest rate differentials between the U.S. and West Germany .","In Homeless clearance 's enemy , a dragger of transit-association tools added the layer would be announced by a crystal of court minister followers between the U.S. and West Germany ."
46140,"The sale price of the unit , which makes packaging products , was to consist of cash , notes and an amount to be determined by the unit 's future performance .","The combination Democratization of the ton , that equal Simple shipbuilders , pledged to get of contraceptive , Breeders and an psychiatrist TO go rendered by the list 's wealthy BMP-1 ."
29129,"THE FINANCIAL ACCOUNTING STANDARDS BOARD'S coming rule on disclosure involving financial instruments will be effective for financial statements with fiscal years ending after June 15 , 1990 .","THE FINANCIAL ACCOUNTING Plastics BOARD'S such music on directive flunking 190.58-point nine-tenths will be crotchety for adjustable live-haulers with state-supervised Cataracts acting after June 15 , 1990 ."
52601,"Within about six months , things will be moving in the right direction , he predicts .","Within domestically six reserves , strongholds will be commenting in the broken-down duplex , he admits ."
