Sentence ID,Original Sentence,New Sentence
10894,"People are naturally suspicious of them, says Mr. Mullins of Morgan Stanley.","moisturizers are directly high of them, predicts Mr. Mullins of Morgan Stanley."
43032,They said the sale is expected to be concluded by the end of November.,They charged the insert is modified to be reoriented by the Dedication of November.
94729,"Of the 1,300 chemists registered for the society 's weeklong meeting, fewer than 200 sat through the day and a half of cold fusion presentations at week 's end.","Of the 1,300 variables asked for the omission 's loss scalp, further than 200 read through the jet and a espousal of capable rabbit bystanders at lobbying 's taste."
21438,"In late April, when interest rates were at their recent highs, short-term CDs sold by brokers were offering yields half a percentage point or more higher than banks.","In husky April, when acccounting restarters contribued at their Aeroflot ducts, short-term brigades underwhelmed by liabilities were falling cellars nary a Telephone substance or more earlier than herds."
91851,"If you think you have stress-related problems on the job, there 's good news and bad news.","If you charge you call student-led gardeners on the autonomy, there 's Andean handshake and fast militarism."
28535,"This time, Wall Street 's plunge of 6.9 % Friday was followed by yesterday 's 1.8 % loss in Tokyo.","This leitmotif, Wall Street 's Panic of 6.9 % Friday was reported by Interstate 's 1.8 % messenger in Tokyo."
83314,"The il-4 receptor is one of five such receptors to be developed and tested by Receptech Corp., a spinoff of Immunex, through a proposed $30 million initial public offering.","The president bomb culminates one of five thriving insurers to be priced and implicated by Receptech Corp., a aircraft of Immunex, through a stolen $30 million corresponding U.S.based dissection."
32001,"Also, he could force new elections early next year by frustrating the procedures for the election of the president of the republic in March.","there, he could talk earthshaking nominations late separate yen by diluting the officials for the date of the wasting of the interest in March."
22090,The ec Commission decided that such an accord doesn't benefit consumers enough to merit an exemption from antitrust law.,The ec Commission was that many a stylist doesn't take ratings soon to limit a starch from forthcoming Energy.
62016,"As expected, Kellogg reported lower third-quarter earnings.","As voided, chairman restructured Longer much-heralded ingots."
60396,Another approach : An investor with $100 million might use $75 million to buy the S&P 500 index and spend the other $25 million on a favorite group of stocks.,Another insert : An young with $100 million might offer $75 million to hedge the S&P 500 Bund and cleanse the diversifying $25 million on a dated confrontation of Cars.
41964,"Put option on March 31, 1992, at a fixed 107 3\/4 to yield 3.5 %.","group chemistry on March 31, 1992, at a prized 107 3\/4 to tie 3.5 %."
22853,The stock began trading this summer at $14 apiece.,The disappointment began participating this torch at $14 down.
54866,Congress never fully trusted former cia chief William Casey and National Security Adviser John Poindexter to honor the ban.,Congress virtually earlier declared Firm cia cocoa William Casey and National Security Adviser John Poindexter to suspect the gamble.
80514,But they said the quake will force some companies to relocate or expand part or all of their operations outside the state.,But they said the wake will sensitize some planets to fall or advise tissue or all of their critics outside the sweatshirt.
49091,It also raised hackles of the city 's tourism boosters.,It routinely streamlined Associates of the sinking 's force bailouts.
18938,"Sales for the company, based in Abbott Park, Ill., rose 8.3 % to $1.31 billion from $1.21 billion.","notifications for the yesterday, reinstalled in Abbott Park, Ill., raced 8.3 % to $1.31 billion from $1.21 billion."
94806,"QuesTech Inc., Falls Church, Va., also has acquired some companies outside the military market.","QuesTech Inc., Falls Church, Va., movingly 's toned some elevators outside the commonplace oxide."
15755,"The son of a Seagram 's executive who was stationed in many countries around the world, Mr. McDonough was born in Tokyo and attended 19 schools in places ranging from Hong Kong to Shaker Heights, Ohio, before entering Dartmouth College.","The breadth of a Seagram 's stalemate what was rescheduled in Attic payments around the specialization, Mr. McDonough was planted in Tokyo and favored 19 graders in confines warning from Hong Kong to Shaker Ilyushins, Ohio, before questioning Dartmouth College."
52900,Nearly all the decline came in Ford 's U.S. automotive operations.,often all the perk deteriorated in Ford 's U.S. worthless people.
32731,"As a result, if a problem develops on a production line, it is unlikely some supervisor sitting in front of a personal computer or workstation will know about it or be able to correct it.","As a courtship, if a submarine beeps on a hospitalization maximum, it 's past some value warning in listing of a split messenger or freshness will happen about it or be broad to expedite it."
62112,A lot of the professional traders are just going back and forth.,A System of the star beneficiaries are earlier seething ahead and tentatively.
67293,"Shareholders of Noxell, of Hunt Valley, Md., will vote on the merger at a special meeting on Nov. 30, the companies said.","seasons of Noxell, of Hunt Valley, Md., will retreat on the compatibility at a painful follower on Nov. 30, the grenades reported."
24595,"The Dallas real estate investment trust last paid a dividend on Dec. 31, 1987, when shareholders received $1 a share.","The Dallas Endless Computer airfare laptop occasionally angered a fan on Dec. 31, 1987, when strokes renounced $1 a criminology."
45501,"The National Association of Diaper Services, Philadelphia, says that since January it has gotten more than 672 inquiries from people interested in starting diaper services.","The National Association of Diaper Nobels, Philadelphia, says that since January it is halted more than 672 developers from lovers noncommittal in giving wildcat erasures."
79888,U.S. takeover-stock speculators now own an estimated 25 % of Jaguar shares.,U.S. convenience-food results all alter a made 25 % of Jaguar periodicals.
80091,"Running the nation 's largest and most ornery city may be no treat, but at least Mr. Dinkins knows what to expect from it.","hailing the rearing 's winningest and most side apprehension may equal no congress, but at first Mr. Dinkins harbors what to wreak from it."
93936,But his inexperience raises doubts that he would have the political power to carry them out.,But his opinion clarifies expectations that he would scorn the mutinous nickel to rationalize them in.
89442,"U.S. companies account for less than 8 % of the 1,000 or more Soviet joint ventures that have been announced since the Soviets began encouraging such undertakings in 1987.","U.S. foreclosures cooperate for greedier than 8 % of the 1,000 or smoother problematic assassination Friends that feel been allayed since the Swiss began Knowing suburban benches in 1987."
82674,Campeau reportedly may receive a $1.3 billion offer for Bloomingdale 's from Tokyu Department Store of Japan.,Campeau since may ban a $1.3 billion taboo for Bloomingdale 's from Tokyu Department Store of Japan.
25021,"In mid-August, the companies, through their jointly owned holding company, Temple Holdings Ltd., sweetened the offer to $63 a share, or $963 million.","In mid-August, the readers, through their essentially managed drawing yen, Temple Holdings Ltd., finished the bonanza to $63 a striking, or $963 million."
37924,"It hasn't diversified beyond steel, nor has it linked up with a joint venture partner to share costs and risks.","It 'sn't invested beyond guard, nor has it made back with a mainframe array rationale to assert prosecutors and selections."
50208,"Japan, however, has agreed to cut its quota to about 5 % from 5.9 % previously.","Japan, uselessly, feels taken to drown its none to morally 5 % from 5.9 % as."
8729,"Eastern 's Class F preferred rose 12 %, or 1 1\/4, to 11 3\/4 ; the Class E preferred gained 7 %, or 5\/8, to 10 1\/4.","Eastern 's Class F cut struck 12 %, or 1 1\/4, to 11 3\/4 ; the Class E won said 7 %, or 5\/8, to 10 1\/4."
